timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Jan 9, 2026 @ 11:11:56.645",aditys-agent,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",Windows Workstation Logon Success,3,60118
"Jan 9, 2026 @ 11:11:32.884",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:11:09.937",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:11:07.750",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:11:05.849",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:11:03.004",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:08:07.355",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:08:07.320",aditys-agent,"[""T1098""]","[""Persistence""]",User account changed,8,60110
"Jan 9, 2026 @ 11:08:07.264",aditys-agent,"[""T1484""]","[""Defense Evasion"",""Privilege Escalation""]",Special privileges assigned to new logon.,3,67028
"Jan 9, 2026 @ 11:08:07.259",aditys-agent,"[""T1098""]","[""Persistence""]",User account changed,8,60110
"Jan 9, 2026 @ 11:07:11.674",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:07:09.432",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:07:06.982",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 11:07:04.389",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 10:42:26.586",aditys-agent,"[""T1562.001""]","[""Defense Evasion""]",Wazuh agent stopped.,3,506
"Jan 9, 2026 @ 10:41:28.361",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:28.153",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Key Integrity Checksum Changed,5,594
"Jan 9, 2026 @ 10:41:28.068",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
"Jan 9, 2026 @ 10:41:28.064",aditys-agent,"[""T1565.001"",""T1112""]","[""Impact"",""Defense Evasion""]",Registry Value Integrity Checksum Changed,5,750
